company;language;report_type;year;link
Lindt und Sprüngli;EN;AR;2018;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/2018_Annual_Report.pdf"
Lindt und Sprüngli;DE;AR;2018;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/2018_Geschaeftsbericht.pdf"
Lindt und Sprüngli;EN;AR;2017;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2017_E.pdf"
Lindt und Sprüngli;DE;AR;2017;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2017_D.pdf"
Lindt und Sprüngli;EN;AR;2016;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2016_E.pdf"
Lindt und Sprüngli;DE;AR;2016;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2016_D.pdf"
Lindt und Sprüngli;EN;AR;2015;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2015_E.pdf"
Lindt und Sprüngli;DE;AR;2015;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2015_D.pdf"
Lindt und Sprüngli;EN;AR;2014;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2014_E.pdf"
Lindt und Sprüngli;DE;AR;2014;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2014_D.pdf"
Lindt und Sprüngli;EN;AR;2013;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2013_E.pdf"
Lindt und Sprüngli;DE;AR;2013;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2013_D.pdf"
Lindt und Sprüngli;EN;AR;2012;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2012_E.pdf"
Lindt und Sprüngli;DE;AR;2012;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2012_D.pdf"
Lindt und Sprüngli;EN;AR;2011;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2011_E.pdf"
Lindt und Sprüngli;DE;AR;2011;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2011_D.pdf"
Lindt und Sprüngli;EN;AR;2010;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2010_E.pdf"
Lindt und Sprüngli;DE;AR;2010;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2010_D.pdf"
Lindt und Sprüngli;EN;AR;2009;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2009_E.pdf"
Lindt und Sprüngli;DE;AR;2009;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2009_D.pdf"
Lindt und Sprüngli;EN;AR;2008;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2008_E.pdf"
Lindt und Sprüngli;DE;AR;2008;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2008_D.pdf"
Lindt und Sprüngli;EN;AR;2007;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2007_E.pdf"
Lindt und Sprüngli;DE;AR;2007;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2007_D.pdf"
Lindt und Sprüngli;EN;AR;2006;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2006_E.pdf"
Lindt und Sprüngli;DE;AR;2006;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2006_D.pdf"
Lindt und Sprüngli;EN;AR;2005;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2005_E.pdf"
Lindt und Sprüngli;DE;AR;2005;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2005_D.pdf"
Lindt und Sprüngli;EN;AR;2004;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2004_E.pdf"
Lindt und Sprüngli;DE;AR;2004;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2004_D.pdf"
Lindt und Sprüngli;EN;AR;2003;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2003_E.pdf"
Lindt und Sprüngli;DE;AR;2003;"https://www.lindt-spruengli.com/fileadmin/user_upload/corporate/user_upload/Investors/Annual_Reports/Annual_Report_2003_D.pdf"
