company;language;report_type;year;link
ABB;EN;AR;2010;"https://www07o.abb.com/docs/default-source/investor-center-docs/annual_report_2010.pdf?sfvrsn=2"
ABB;EN;SR;2010;"https://www07o.abb.com/docs/default-source/investor-center-docs/sustainability_performance_2010.pdf?sfvrsn=2"
ABB;EN;AR;2011;"https://www07o.abb.com/docs/default-source/investor-center-docs/annual_report_2011_abb_ar11.pdf?sfvrsn=2"
ABB;EN;SR;2011;"https://www07o.abb.com/docs/default-source/investor-center-docs/entire_abb_csr11.pdf?sfvrsn=2"
ABB;EN;AR;2012;"https://www07o.abb.com/docs/default-source/investor-center-docs/abb-group-annual-report-2012_english.pdf?sfvrsn=2"
ABB;EN;SR;2012;"https://www07o.abb.com/docs/default-source/investor-center-docs/abb-group-sustainability-performance-2012.pdf?sfvrsn=2"
ABB;EN;AR;2013;"http://search-ext.abb.com/library/Download.aspx?DocumentID=9AKK106103A4426&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;SR;2013;"https://library.e.abb.com/public/a2c3157812b6475cad0964ef40165251/ABB%20Group%20Sustainability%20Performance%202013.pdf"
ABB;EN;AR;2014;"https://www07o.abb.com/docs/default-source/investor-center-docs/annual-report/ABB-Group-Annual-Report-2014-English.pdf?sfvrsn=8"
ABB;EN;SR;2014;"https://www07o.abb.com/docs/default-source/investor-center-docs/sustainability-performance-reports/2014_abb-group-sustainability-performance-report.pdf"
ABB;EN;AR;2015;"https://www07o.abb.com/docs/default-source/investor-center-docs/annual-report/annual-report-2015/abb-group-annual-report-2015-english.pdf"
ABB;EN;SR;2015;"https://www07o.abb.com/docs/default-source/sustainability/abb-group-sustainability-performance-report-2015.pdf"
ABB;EN;AR;2016;"http://search.abb.com/library/Download.aspx?DocumentID=9AKK107045A3962&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;SR;2016;"http://search.abb.com/library/Download.aspx?DocumentID=9AKK107045A5961&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;AR;2017;"http://search-ext.abb.com/library/Download.aspx?DocumentID=9AKK107046A7438&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;SR;2017;"http://search-ext.abb.com/library/Download.aspx?DocumentID=9AKK107046A7829&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;AR;2018;"http://search.abb.com/library/Download.aspx?DocumentID=9AKK107492A1740&LanguageCode=en&DocumentPartId=&Action=Launch"
ABB;EN;SR;2018;"http://search.abb.com/library/Download.aspx?DocumentID=9AKK107492A1812&LanguageCode=en&DocumentPartId=&Action=Launch"
