company;language;report_type;year;link
Swisscom AG;DE;AR;2018;"https://reports.swisscom.ch/download/2018/de/swisscom_geschaeftsbericht_gesamt_2018_de.pdf"
Swisscom AG;DE;SR;2018;"https://reports.swisscom.ch/download/2018/de/swisscom_nachhaltigkeitsbericht_gesamt_2018_de.pdf"
Swisscom AG;DE;GRI;2018;"https://reports.swisscom.ch/download/2018/de/swisscom_nachhaltigkeitsbericht_gri-index_2018_de.pdf"
Swisscom AG;DE;ISO14064;2018;"https://reports.swisscom.ch/download/2018/de/swisscom_klimabericht_2018_de.pdf"
Swisscom AG;DE;AR;2017;"http://reports.swisscom.ch/download/2017/de/swisscom_geschaeftsbericht_gesamt_2017_de.pdf"
Swisscom AG;DE;SR;2017;"https://reports.swisscom.ch/download/2017/de/swisscom_nachhaltigkeitsbericht_gesamt_2017_de.pdf"
Swisscom AG;DE;GRI;2017;"https://reports.swisscom.ch/download/2017/de/swisscom_nachhaltigkeitsbericht_gri-index_2017_de.pdf"
Swisscom AG;DE;ISO14064;2017;"https://reports.swisscom.ch/download/2017/de/swisscom_klimabericht_2017_de.pdf"
Swisscom AG;DE;AR;2016;"http://reports.swisscom.ch/download/2016/de/swisscom_geschaeftsbericht_gesamt_2016_de.pdf"
Swisscom AG;DE;SR;2016;"https://reports.swisscom.ch/download/2016/de/swisscom_nachhaltigkeitsbericht_gesamt_2016_de.pdf"
Swisscom AG;DE;GRI;2016;"https://reports.swisscom.ch/download/2016/de/swisscom_nachhaltigkeitsbericht_gri-index_2016_de.pdf"
Swisscom AG;DE;AR;2015;"http://reports.swisscom.ch/download/2015/de/swisscom_geschaeftsbericht_gesamt_2015_de.pdf"
Swisscom AG;DE;SR;2015;"https://reports.swisscom.ch/download/2015/de/swisscom_nachhaltigkeitsbericht_gesamt_2015_de.pdf"
Swisscom AG;DE;GRI;2015;"https://reports.swisscom.ch/download/2015/de/swisscom_nachhaltigkeitsbericht_gri-index_2015_de.pdf"
Swisscom AG;DE;AR;2014;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/documents/2015/2014-geschaeftsbericht.pdf"
Swisscom AG;DE;CG;2014;"https://www.swisscom.ch/content/dam/swisscom/de/about/governance/documents/2014-corporate-governance-de.pdf.dl.res/2014-corporate-governance-de.pdf"
Swisscom AG;DE;AR;2013;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/documents/2014/2013-geschaeftsbericht.pdf.dl.res/2013-geschaeftsbericht.pdf"
Swisscom AG;DE;CG;2013;"https://www.swisscom.ch/content/dam/swisscom/de/about/governance/documents/2013-corporate-governance-de.pdf.dl.res/2013-corporate-governance-de.pdf"
Swisscom AG;DE;SR;2012;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/documents/Corporate-Responsibility_Swisscom_Gesch%C3%A4ftsbericht_2012_de.pdf.dl.res/Corporate-Responsibility_Swisscom_Gesch%C3%A4ftsbericht_2012_de.pdf"
Swisscom AG;DE;AR;2012;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2012/2012-geschaeftsbericht.pdf.dl.res/2012-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2011;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2011/2011-geschaeftsbericht.pdf.dl.res/2011-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2010;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2010/2010-geschaeftsbericht.pdf.dl.res/2010-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2009;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2009/2009-geschaeftsbericht.pdf.dl.res/2009-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2008;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2008/2008-geschaeftsbericht.pdf.dl.res/2008-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2007;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2007/2007-geschaeftsbericht.pdf.dl.res/2007-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2006;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2006/2006-geschaeftsbericht.pdf.dl.res/2006-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2005;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2005/2005-geschaeftsbericht.pdf.dl.res/2005-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2004;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2004/2004-geschaeftsbericht.pdf.dl.res/2004-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2003;"https://www.swisscom.ch/content/dam/swisscom/nl/ghq/investor_relations/documents/2003_Swisscom_Geschaeftsbericht.pdf.dl.res/2003_Swisscom_Geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2002;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2002/2002-geschaeftsbericht.pdf.dl.res/2002-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2001;"https://www.swisscom.ch/content/dam/swisscom/de/about/investoren/berichte/2001/2001-geschaeftsbericht.pdf.dl.res/2001-geschaeftsbericht.pdf"
Swisscom AG;DE;AR;2000;"https://www.swisscom.ch/content/dam/swisscom/de/ghq/investor_relations/documents/2000_geschaeftsbericht_de.pdf.dl.res/2000_geschaeftsbericht_de.pdf"
Swisscom AG;DE;AR;1999;"https://www.swisscom.ch/content/dam/swisscom/de/ghq/investor_relations/documents/1999_geschaeftsbericht_de.pdf.dl.res/1999_geschaeftsbericht_de.pdf"
Swisscom AG;DE;AR;1998;"https://www.swisscom.ch/content/dam/swisscom/de/ghq/investor_relations/documents/1998_geschaeftsbericht_de.pdf.dl.res/1998_geschaeftsbericht_de.pdf"
Swisscom AG;DE;AR;1997;"https://www.swisscom.ch/content/dam/swisscom/de/ghq/investor_relations/documents/1997_geschaeftsbericht_de.pdf.dl.res/1997_geschaeftsbericht_de.pdf"
Swisscom AG;DE;AR;2019;"https://reports.swisscom.ch/download/2019/de/swisscom_geschaeftsbericht_gesamt_2019_de.pdf"
